model,n_iter,train_error,test_error
Batch Gradient Descent,320,286.60833975136387,294.6985163093576
Batch Gradient Descent,321,285.3578351522002,293.48628064429136
Batch Gradient Descent,322,284.1140813847052,292.28070107871895
Batch Gradient Descent,323,282.87704198972057,291.08174135923593
Batch Gradient Descent,324,281.6466807049928,289.8893654290567
Batch Gradient Descent,325,280.42296146410996,288.70353742695033
Batch Gradient Descent,326,279.20584839544375,287.5242216861823
Batch Gradient Descent,327,277.99530582109793,286.35138273346183
Batch Gradient Descent,328,276.79129825586153,285.184985287895
Batch Gradient Descent,329,275.5937904061685,284.02499425994347
Batch Gradient Descent,330,274.4027471690627,282.87137475038867
Batch Gradient Descent,331,273.2181336311685,281.7240920493018
Batch Gradient Descent,332,272.0399150676666,280.5831116350197
Batch Gradient Descent,333,270.86805694127605,279.44839917312527
Batch Gradient Descent,334,269.7025249012416,278.31992051543466
Batch Gradient Descent,335,268.5432847823256,277.197641698989
Batch Gradient Descent,336,267.3903026038065,276.0815289450518
Batch Gradient Descent,337,266.2435445684829,274.97154865811206
Batch Gradient Descent,338,265.1029770616811,273.86766742489266
Batch Gradient Descent,339,263.9685666502705,272.7698520133636
Batch Gradient Descent,340,262.8402800816827,271.6780693717616
Batch Gradient Descent,341,261.71808428293633,270.5922866276139
Batch Gradient Descent,342,260.6019463596671,269.5124710867681
Batch Gradient Descent,343,259.4918335951632,268.43859023242675
Batch Gradient Descent,344,258.38771344940596,267.37061172418777
Batch Gradient Descent,345,257.28955355811553,266.3085033970895
